rooms,square,living_space,kitchen_scace,curr_floor,max_floor,home_type,build_year,district,serv_lift,pass_lift,parking,loggia,balcony,garbage_chute,bathroom,repair_type,wind_view,emergency_exit,avg_price_for_m,avg_room_price,price
1,33.0,nan,nan,6,9,Кирпичный,1973,Октябрьский,1,0,1,1,0,0,1,Косметический,Во двор,1,259116.0,23024144.0,207000.0
1,44.8,18.2,10.9,2,15,nan,nan,Ленинский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,365159.0
2,54.0,30.0,11.0,2,17,nan,2019,Октябрьский,1,1,1,1,0,0,1,Евроремонт,nan,nan,259116.0,23024144.0,239890.0
1,29.0,15.0,9.0,3,17,Блочный,2019,Октябрьский,1,1,1,1,0,0,nan,Евроремонт,nan,nan,259116.0,23024144.0,139800.0
3,81.0,42.0,12.0,3,17,nan,2019,Октябрьский,1,1,1,1,0,0,1,Евроремонт,nan,nan,259116.0,23024144.0,299890.0
1,40.38,18.1,11.9,3,22,nan,2017,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,325000.0
3,68.0,39.5,12.0,5,19,nan,2017,Советский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,403300.0
1,35.67,17.8,10.0,15,18,nan,2019,Октябрьский,1,1,1,1,0,0,nan,Евроремонт,На улицу,nan,259116.0,23024144.0,166900.0
1,37.1,15.1,9.3,3,22,nan,2019,Пролетарский,0,0,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,192920.0
1,38.0,15.7,9.3,4,22,nan,2019,Первомайский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,197600.0
2,44.0,22.0,8.0,2,18,nan,2018,Советский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,227500.0
1,40.6,17.9,11.2,14,24,nan,2018,Пролетарский,1,1,0,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,227244.0
1,41.76,16.5,12.6,15,22,nan,2018,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,233184.0
2,51.3,26.4,10.6,11,22,nan,2019,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,261630.0
2,52.9,25.1,9.5,19,22,nan,2019,Первомайский,1,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,269790.0
2,64.0,29.5,14.0,11,18,nan,2019,Октябрьский,1,1,1,0,1,0,1,Евроремонт,На улицу и двор,nan,259116.0,23024144.0,269500.0
3,57.5,38.2,9.2,1,9,nan,1978,Ленинский,0,1,1,1,0,1,nan,nan,nan,1,265095.0,4812258.0,285000.0
2,49.7,30.3,6.6,5,5,nan,1955,Кировский,0,0,1,0,1,0,nan,nan,nan,1,268787.0,40353355.0,290000.0
2,54.5,35.0,11.0,10,10,Панельный,2007,Октябрьский,0,1,1,1,0,0,1,Косметический,Во двор,nan,268787.0,40353355.0,309000.0
1,43.0,19.0,12.0,22,25,Монолитно,2018,Пролетарский,1,1,1,0,1,0,nan,Дизайнерский,Во двор,nan,268787.0,40353355.0,320000.0
2,63.2,31.0,14.3,21,22,nan,2018,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,40353355.0,357000.0
